Dreepy,4,Pokemon,TWM,128
Drakloak,4,Pokemon,TWM,129
Dragapult,3,Pokemon,TWM,130
Iron Thorns ex,3,Pokemon,TWM,77
Iron Thorns ex,1,Pokemon,TWM,196
Toedscruel,1,Pokemon,PAR,17
Toedscool,1,Pokemon,SCR,17
Klefki,1,Pokemon,SVI,096
Radiant Alakazam,1,Pokemon,SIT,59
Arven,4,Supporter,,
Crispin,4,Supporter,,
Iono,2,Supporter,,
Boss's orders,2,Supporter,,
Professor Turo's Scenario,1,Suppoter,,
Pokegear 3.0,4,Item,,
Ultra Ball,2,Item,,
Buddy-buddy Poffin,2,Item,,
Night Stretcher,2,Item,,
Rare Candy,1,Item,,
Precious Trolley - ACESPEC,1,Item,,
Counter Catcher,1,Item,,
Earthen Vessel,1,Item,,
Rescue Board,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Future Booster Energy Capsule,1,Tool,,
Basic Psychic Energy,4,Energy,,
Basic Fire Energy,4,Energy,,
Basic Lightning Energy,2,Energy,,
