Charizard ex,3,Pokémon,OBF,125
Dusclops,1,Pokémon,SFA,19
Lumineon V,1,Pokémon,BRS,40
Dusknoir,1,Pokémon,SFA,70
Dusknoir,1,Pokémon,SFA,20
Pidgey,2,Pokémon,MEW,16
Fezandipiti ex,1,Pokémon,SFA,38
Pidgeot ex,2,Pokémon,OBF,164
Pidgeotto,2,Pokémon,MEW,17
Charmander,3,Pokémon,MEW,4
Charmeleon,2,Pokémon,PAF,8
Rotom V,1,Pokémon,LOR,58
Duskull,1,Pokémon,BRS,60
Professor Turo's Scenario,1,Supporter,,
Boss's Orders,2,Supporter,,
Thorton,1,Supporter,,
Briar,1,Supporter,,
Arven,4,Supporter,,
Iono,3,Supporter,,
Ultra Ball,3,Item,,
Rare Candy,3,Item,,
Super Rod,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Hisuian Heavy Ball,1,Item,,
Counter Catcher,1,Item,,
Night Stretcher,1,Item,,
Lost Vacuum,1,Item,,
Switch,1,Item,,
Nest Ball,3,Item,,
Defiance Band,1,Tool,,
Forest Seal Stone,1,Tool,,
Grand Tree - ACESPEC,1,Stadium,,
Basic Fire Energy,5,Energy,,
