Comfey,4,Pokemon,CRZ,GG14
Radiant Greninja,1,Pokemon,ASR,46
Sableye,1,Pokemon,LOR,70
Cramorant,1,Pokemon,LOR,60
Manaphy,1,Pokemon,CRZ,GG06
Bloodmoon Ursaluna ex,1,Pokemon,TWM,202
Pikachu ex,1,Pokemon,SSP,57
Colress's Experiment,4,Supporter,,
Boss's Orders,1,Suppoter,,
Roxanne,1,Suppoter,,
Buddy-buddy Poffin,4,Supporter,,
Mirage Gate,4,Item,,
Super Rod,4,Item,,
Nest Ball,4,Item,,
Switch Cart,4,Item,,
Switch,3,Item,,
Night Stretcher,1,Item,,
Lost Vacuum,2,Item,,
Prime Catcher - ACESPEC,1,Item,,
Hisuian Heavy Ball,1,Item,,
Canceling Cologne,1,Item,,
Pal Pad,1,Item,,
Rescue Board,1,Tool,,
Pokestop,3,Stadium,,
Basic Water Energy,3,Energy,,
Basic Metal Energy,2,Energy,,
Basic Lightning Energy,2,Energy,,
Basic Grass Energy,2,Energy,,
Basic Psychic Energy,1,Energy,,
