Duraludon,4,Pokemon,SCR,106
Archaludon ex,3,Pokemon,SSP,130
Origin Forme Dialga V,2,Pokemon,ASR,113
Origin Forme Dialga VSTAR,2,Pokemon,ASR,114
Radiant Greninja,1,Pokemon,ASR,46
Fezandipiti ex,1,Pokemon,SFA,38
Relicanth,1,Pokemon,TEF,84
Precious Trolley,1,ACE SPEC,,
Aven,4,Supporter,,
Boss's Orders,4,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Ultra Ball,4,Item,,
Nest Ball,1,Item,,
Canceling Cologne,1,Item,,
Call Bell,3,Item,,
Earthen Vessel,3,Item,,
Night Stretcher,3,Item,,
Pokegear 3.0,3,Item,,
Counter Catcher,1,Item,,
Trekking Shoes,3,Item,,
Technical Machine: Turbo Energize,2,Tool,,
Vitality Band,1,Tool,,
Basic Metal Energy,10,Energy,,
